source,author_id,text,hsd_answer
davidson,pseudo_d7745495e1ff,@iiAK lmaoo boy how you think Benny heard it lol i was blasting that bitch,0
hatexplain,pseudo_94ff9ef96c65,aint nothin like a ride or die bitch she come thru and throw the <number> up love to fuck she even roll the piffy up,0
toxic_spans,pseudo_b21aa7b15a0f,"Well it's nice to know that if I ever really hate somebody, I get one mostly-free murder. As long as I'm acting like a moron, I'm not a black man, and it's an ""accident.""",0
measuring_hate_speech,pseudo_c92f88899905,Fags are disgusting and bad for you fren.,1
dynahate,pseudo_e3cd7fc199cd,"Ummmm so you say you like music, but you haven't listened to *insert obscure indie band*? Get away from me, you pleb!",1
dynahate,pseudo_1a3c3b0cca61,"Women's brains are smaller than men's, they can't understand complex things",1
measuring_hate_speech,pseudo_206776331169,I'd leave a load all over that pussy,0
davidson,pseudo_eaa22dd18490,RT @Bigboybeezy: If you a hoe on the internet you a hoe irl,0
davidson,pseudo_d7cc3228eeaa,And ha bitch break down my weed sometimes,0
davidson,pseudo_8af5344d9e73,Preach RT @POONsoaker: Ugly girls are the way to go man. Nobody got time for you pretty hoes,0
measuring_hate_speech,pseudo_d329f77b14cb,"@Castro4Congress @BillMillerBarBQ @HistoricPearl This is the kind of shit the Nazis were pulling on the Jews in Germany before they decided to,"" take action and eliminate the problem"". Its straight out of the book. Little faggot",1
hatexplain,pseudo_5a238df29c01,<user> belfast connections tell me gillian anderson was a total bitch filming the fall,0
dynahate,pseudo_77eeec0687f5,"Gotta save their faces and run an identity search. I see a ton of racist comments from public profiles of stupid people mostly on Instagram, I‘d like to know if there’s a way to screw them over to their school over hate speech",0
hatecheck,pseudo_f9a017ce32ef,Too many w h o r e s in this country. ,1
measuring_hate_speech,pseudo_2dcf26169908,KAMALA HARRIS IS THE ONLY CANDIDATE FOR PRESIDENT WHO HAS ACTUALLY PUT THOUSANDS OF BLACK MEN IN CAGES IN PRISON FOR YEARS RIPPING THEM FROM THIER CHILDREN'S ARMS!😱,0
hatexplain,pseudo_f21f671fdbde,the left does not give a fuck about victims of muslim terror attacks or rapes they see them as bad pr their biggest concern is always that whites might criticize muslims after those attacks that why they are so rustled at kellyanne slip their only consistency is trying to genocide whites,0
dynahate,pseudo_8998086a54d1,Women should just pack up and live on another planet,1
measuring_hate_speech,pseudo_5633d833f5ba,They done fuck up Charlie's Angels into feminist propaganda bullshit,1
davidson,pseudo_88122018c5d5,I'm going to be an ugly niggah for Halloween so I can just be myself.,0
davidson,pseudo_3139547a7152,Yuh bitch voz de mando at ok was the best mf Friday yet :),0
measuring_hate_speech,pseudo_d2f1c40be172,"The Somerville mayor called out Barstool for being sexist, racist and right wing lunacy. People brought to light to Pres how he was probed by the FBI for extortion and how his family has been tied to sexual relations with underage kids, arson, beating elderly women, meth dealings, stabbings etc. Pres just went off and posted all of it and us asking him to debate him.",0
toxic_spans,pseudo_35b9f6622eb1,Idiot!,0
measuring_hate_speech,pseudo_5d3e1e303bb6,keep ignoring me bitch ima fuck around and forget how to suck yo dick,0
davidson,pseudo_08db5b3ad05d,RT @vickyBeanMr: We live In a world full of unloyal hoes &amp; ugly niggas asking for hugs,0
davidson,pseudo_38a0c867370f,@woohdakidd_74 lol mane shut dat bitch shit up youn fucc wit me,0
dynahate,pseudo_a4159273358b,I'l actually respect pikeys if they all commit suicide. Just fucking do it.,1
measuring_hate_speech,pseudo_5b209cd50b21,There is plenty of evidence that women and non-white people are disadvantaged in almost every hiring process in the western world.,0
davidson,pseudo_b69ba851a362,"@cuunthiaaa @Fvnxy he's the ""fuck her right in the pussy"" guy",0
measuring_hate_speech,pseudo_b28dc360bcac,"She is one incredible woman, would love to have my cock sucked by her.",0
davidson,pseudo_ca9b6d3b8b49,RT @jcash___: Bradshaw ain't no hoe,0
dynahate,pseudo_72a2c8476098,This black spider looks exactly like these black men,1
measuring_hate_speech,pseudo_54457690c147,"I'd be too tired at the end of the day to do anything too involved and elaborate. I would See her in that position and walk right up to her, spit on her butthole to use as lube. Then I would wrap my belt around her neck and cinch it super tight sister choking her into the same time fucking her in the shit pipe with with my dick",1
convabuse,pseudo_3c0165a056a5,"Yes, dammit.",0
davidson,pseudo_5539a4fafc0d,foreign bad bitch n she said her name trinaaa trap house look like it got hit by hurricane katrinaaaa,0
dynahate,pseudo_44d60029b409,"well my friend, you certainly won’t get put to death for being gay in Israel like you would in some other countries in the 
Middle East",1
dynahate,pseudo_980e17553324,This should really be federal law but the libtards wont even let that happen. #BelieveWomenMyAss,1
hatexplain,pseudo_dc90dc652e7d,nope so far i earn enough to get by with me and my son i refuse to be one of those ghetto trash bitches on food stamps even if i do rent in a ghetto,0
measuring_hate_speech,pseudo_25df9fa8f797,We all pray for peace in the middle east and all over the world where the US is trying to steal and destroy nations that can't defend themselves URL,0
dynahate,pseudo_5ae95822edcf,Politicians are compulsive liars,0
measuring_hate_speech,pseudo_c8c968b06c0d,Iran is full of religious Nazis...,1
measuring_hate_speech,pseudo_cbef6c89258e,"Those losers are way outta their league, the closest they'd ever get to someone of her caliper would be a cardboard cutout.  Also, I hope that pic haunts those guys' lives. If these douchebags ever land a future date, I hope this pic shows up when a prospecting date google's any one of these chodes.",0
measuring_hate_speech,pseudo_3540f61ba4f5,"I was born in the US and have a lot of American blood, but I moved to China when I was very young. Stayed there for about eight years. My family moved back to the US and I realized how so many people there actually stayed in their county for their I entire lives. So that stuck with me.",0
hatexplain,pseudo_2ef03d7e26f8,<user> lmao son you know my mind gone beyond the regular crazy shit i ’ m retarded 😂 😂,0
measuring_hate_speech,pseudo_de917fcfc460,"Nigerian women are so bad in bed, Lesbians are cheating on each other with men. You hate to see it URL",0
davidson,pseudo_f3c9f748b66f,@Rocko4Real is one of the rawest niccas doin dis shit!,0
measuring_hate_speech,pseudo_7d9d1d30dee3,"Its a woman doing or in charge of the documentary. Dont watch it guys, all women are evil and AWALT. I bet she wouldnt care if men in her family, husband if she has one, father, uncles, grandfather or son killed themselves. Shes a woman in the end so that means she is subhuman and the same as every other slut in 20s and 30s now. Btw your moms and grandmoms who give you advice not to marry in these times are hoes and AWALTs too. /s btw I consider myself mgtow 110% but not everything in life is black and white. There are exceptions to the rule.",1
hatemoji_build,pseudo_a611718e7d14,Romany people are disgusting!! They deserve to be fed to the 🐀,1
measuring_hate_speech,pseudo_67f05c7bd7f8,Im an atheist myself was and is good,0
measuring_hate_speech,pseudo_8f13a274e097,"Stupid fucking thot, no wonder why women are useless",0
hatexplain,pseudo_fcf85a03c04b,for the queer readers you deserve every adventure nina varela baby i already love u so much,0
davidson,pseudo_3eee0cf44f2a,"@argylegray @JTrevorHowerton @HollyRFisher I don't give a flying fuck what you think about my tweets, worthless teabagger scum.",0
dynahate,pseudo_420511419eac,"Muslims are not terrorists, but they like to bomb like them!",1
toxic_spans,pseudo_a00b7c42892f,"We need an Alt Right Gov. in Canada to stop
this crap. Judges have no right to make laws.
And by the sounds of it, they are trying to
install a communist Gov. All the crap so many died
stopping, now they are trying to slip it to us nice
and quietly. They are a disgrace to Canada, so
is the judicial system now and the young have
no clue as to what scum commies are.",0
dynahate,pseudo_5248854131c4,"She said to me, you are a vile human being, and i was like, so are you..she didn't like that",0
davidson,pseudo_363ad0a70c4a,"RT @Nostradamnisuck: Mary had a juicy clam,
Was always good to go
Little touch of boated man
And she began to flow

#HallmarkNostraCollecti&#8230;",0
convabuse,pseudo_cd97ba1f069b,i just don't know aboput it,0
dynahate,pseudo_b932af36b355,"the idea that you could have a working civilization with blacks working side by side, is how the world should work, is the essence of a democratic world.",0
measuring_hate_speech,pseudo_9cd61de3b984,what's the tea on puerto rican men?,0
dynahate,pseudo_d6a8ad9536ae,"As a muslim living in europe, extremists make it very hard for myself and many others, cause they drag our reputation in the mud, and after every incident it's harder to blame the locals to hate on muslims, thus putting innocent people in danger (ofc besides the innocent victims of their crimes).",0
dynahate,pseudo_def73cc244f2,"places without rowdy football fans are far more easy to handle, well maintained and generally everyone is just a lot nicer. That's how I've always found it.",0
measuring_hate_speech,pseudo_b03bbe5f937f,Strongly condemn forced suspension/ deactivation of twitter accounts of journalists @UmarCheema1 & @AzazSyed. Speech & media freedom are being suppressed brutally in Pakistan. Democratic world must take notice. @UN @UNHumanRights @amnesty @hrw @StateDept,0
dynahate,pseudo_9b9795b32a99,I thought real Romans lived in stone huts or authentic tents? Why's this movie trafficking in modern innovations like indoor plumbing' ay nothing of historical accuracy? Are they killing the movie industry there yet?,0
dynahate,pseudo_1aee7bdf91ce,Every time anyone capitulates to apes it makes everything worse. In fact them just being around makes everything worse. Because they surely prove the idea that big government feels the need to micromanage everyone's lives .,1
