row_number,source,author_id,gold_hsd_answer,local_llm_prediction,failure_type,cleaned_text
1,davidson,pseudo_d7745495e1ff,0,1,false_positive,[USER] [STYLE] boy how you think benny heard it [STYLE] i was blasting that bitch
2,hatexplain,pseudo_94ff9ef96c65,0,1,false_positive,aint nothin like a ride or die bitch she come thru and throw the <number> up love to fuck she even roll the piffy up
3,toxic_spans,pseudo_b21aa7b15a0f,0,1,false_positive,"Well it's nice to know that if I ever really hate somebody, I get one mostly-free murder. As long as I'm acting like a moron, I'm not a black man, and it's an ""accident."""
7,measuring_hate_speech,pseudo_206776331169,0,1,false_positive,I'd leave a load all over that pussy
8,davidson,pseudo_eaa22dd18490,0,1,false_positive,RT [USER]: If you a hoe on the internet you a hoe irl
9,davidson,pseudo_d7cc3228eeaa,0,1,false_positive,And ha bitch break down my weed sometimes
10,davidson,pseudo_8af5344d9e73,0,1,false_positive,Preach RT [USER]: Ugly girls are the way to go man. Nobody got time for you pretty hoes
15,measuring_hate_speech,pseudo_2dcf26169908,0,1,false_positive,KAMALA HARRIS IS THE ONLY CANDIDATE FOR PRESIDENT WHO HAS ACTUALLY PUT THOUSANDS OF BLACK MEN IN [LOCATION] IN PRISON FOR YEARS RIPPING THEM FROM [LOCATION]'S ARMS!😱
16,hatexplain,pseudo_f21f671fdbde,0,1,false_positive,the left does not give a fuck about victims of muslim terror attacks or rapes they see them as bad pr their biggest concern is always that whites might criticize muslims after those attacks that why they are so rustled at kellyanne slip their only consistency is trying to genocide whites
17,dynahate,pseudo_8998086a54d1,1,0,false_negative,Women should just pack up and live on another planet
18,measuring_hate_speech,pseudo_5633d833f5ba,1,0,false_negative,They done fuck up Charlie's Angels into feminist propaganda bullshit
19,davidson,pseudo_88122018c5d5,0,1,false_positive,I'm going to be an ugly niggah for Halloween so I can just be myself.
21,measuring_hate_speech,pseudo_d2f1c40be172,0,1,false_positive,"The Somerville mayor called [PERSON] for being sexist, racist and right wing lunacy. People brought to light to Pres how he was probed by the FBI for extortion and how his family has been tied to sexual relations with underage kids, arson, beating elderly women, meth dealings, stabbings etc. Pres just went off and posted all of it and us asking him to debate him."
23,measuring_hate_speech,pseudo_5d3e1e303bb6,0,1,false_positive,keep ignoring me bitch ima fuck around and forget how to suck yo dick
24,davidson,pseudo_08db5b3ad05d,0,1,false_positive,RT [USER]: We live In a world full of unloyal hoes &amp; ugly niggas asking for hugs
29,measuring_hate_speech,pseudo_b28dc360bcac,0,1,false_positive,"She is one incredible woman, would love to have my cock sucked by her."
35,dynahate,pseudo_44d60029b409,1,0,false_negative,"well my friend, you certainly won’t get put to death for being gay in [LOCATION] like you would in some other countries in the \n[LOCATION]"
36,dynahate,pseudo_980e17553324,1,0,false_negative,This should really be federal law but the libtards wont even let that happen. #BelieveWomenMyAss
37,hatexplain,pseudo_dc90dc652e7d,0,1,false_positive,nope so far i earn enough to get by with me and my son i refuse to be one of those ghetto trash bitches on food stamps even if i do rent in a ghetto
41,measuring_hate_speech,pseudo_cbef6c89258e,0,1,false_positive,"Those losers are way outta their league, the closest they'd ever get to someone of her caliper would be a cardboard cutout.  Also, I hope that pic haunts those guys' lives. If these douchebags ever land a future date, I hope this pic shows up when a prospecting date google's any one of these chodes."
53,toxic_spans,pseudo_a00b7c42892f,0,1,false_positive,"We need an Alt Right Gov. in [LOCATION] to stop\nthis crap. Judges have no right to make laws.\nAnd by the sounds of it, they are trying to\ninstall a communist Gov. All the crap so many died\nstopping, now they are trying to slip it to us nice\nand quietly. They are a disgrace to [LOCATION], so\nis the judicial system now and the young have\nno clue as to what scum commies are."
63,dynahate,pseudo_1aee7bdf91ce,1,0,false_negative,Every time anyone capitulates to apes it makes everything worse. In fact them just being around makes everything worse. Because they surely prove the idea that big government feels the need to micromanage everyone's lives .
69,dynahate,pseudo_25da52a93877,0,1,false_positive,worthless black chimp- I get called that almost daily now
75,hatemoji_build,pseudo_109d400cf3a1,1,0,false_negative,i'm so OCD 😉
81,hatexplain,pseudo_60ce87ebb4ae,0,1,false_positive,guess you gotta be a bum bitch to get shit from niggas now a days
83,hatexplain,pseudo_be99156a7c17,0,1,false_positive,got my mail all women home in the afternoon met [PERSON] at mailbox she get people magazine delivered i pointed to her mag and asked how old were you when you began to hate the truth she made a dirty asian face at me
89,dynahate,pseudo_ef89f35b2412,1,0,false_negative,I would be lying if I said I like jungle bunnies
91,hatexplain,pseudo_a49dfc50541a,0,1,false_positive,i wonder how many illegal immigrants will still seek sanctuary in california lol
94,dynahate,pseudo_8d0e2784b257,1,0,false_negative,"Hey this is nothing more than the price acting, of course halal meat and pork is cheaper than cattle meat. Of course people will usually go for the cheaper option, even if its dirtier, and there's where the economy changes pure british culture, but the consume of what is part of tradition will continue. Also the space isn't really that important since most of what the gross chinese consume is imported, look at how much soy they buy from [LOCATION] and how much meat they import"
95,toxic_spans,pseudo_f3635072f44c,0,1,false_positive,"Black and Brown People still own millions of Black and Brown slaves.\nThey castrate them, rape them and even kill them. \nSo who are you calling a supremacist, white nationalist or racist. Little Brown woman?"
110,toxic_spans,pseudo_2c1e8884ecaf,0,1,false_positive,"as I said before, ass****"
112,dynahate,pseudo_82ee8bf2e440,0,1,false_positive,"We need to look out for Asians. Read this: ""Asian patients had higher odds of being hospitalized than white patients even though they were less likely to receive positive COVID-19 test results""."
131,dynahate,pseudo_225539ad3134,1,0,false_negative,What are your best gay jokes?
